Please specify your gender,Once in a while I can't control the urge to strike another person,I refrain from physical duels even when ticked-off by others,"Given enough provocation, I might hit another person",I can think of no good reason for hurting another person,"If someone hits me, I hit back",I get into fights a little more than the average person,I have never threatened people I know,"If I have to resort to violence to protect my rights, I will",I have never become so mad that I have broken things,What is an estimate for the number of fights you've been involved in over the last six months,For how many years or months have you been listening to Drill music,"On average, how many hours a week do you spend listening to Drill music","Lastly, please indicate your age below"
Male,2.0,3.0,4.0,2.0,5.0,4.0,3.0,5.0,1.0,2.0,3.0,15.0,22
Male,1.0,2.0,3.0,1.0,5.0,1.0,2.0,3.0,2.0,0.0,2.0,10.0,17
Male,2.0,4.0,5.0,2.0,5.0,1.0,5.0,4.0,3.0,0.0,2.0,15.0,18
Male,4.0,3.0,5.0,1.0,5.0,4.0,1.0,4.0,1.0,8.0,4.0,10.0,19
Male,2.0,1.0,1.0,3.0,3.0,1.0,4.0,4.0,5.0,0.0,3.0,9.0,16
Male,4.0,3.0,3.0,4.0,5.0,1.0,1.0,5.0,5.0,0.0,2.0,8.0,17
Male,1.0,5.0,5.0,1.0,5.0,3.0,2.0,5.0,1.0,10.0,5.0,10.0,18
Male,3.0,2.0,4.0,3.0,5.0,1.0,1.0,1.0,1.0,0.0,3.0,12.0,14
Male,2.0,2.0,5.0,1.0,5.0,3.0,1.0,5.0,2.0,0.0,3.0,14.0,16
Male,3.0,3.0,5.0,1.0,5.0,3.0,1.0,5.0,1.0,0.0,2.0,14.0,16
Male,2.0,1.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,0.0,8.0,10.0,16
Male,1.0,3.0,5.0,2.0,5.0,1.0,3.0,5.0,2.0,1.0,2.0,10.0,18
Male,1.0,3.0,5.0,3.0,4.0,1.0,3.0,5.0,1.0,0.0,2.0,10.0,17
Male,1.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,0.0,3.0,8.0,16
Male,1.0,2.0,4.0,2.0,5.0,1.0,2.0,4.0,1.0,0.0,1.0,20.0,18
Male,2.0,2.0,5.0,1.0,5.0,3.0,1.0,4.0,2.0,1.0,4.0,10.0,16
Male,3.0,2.0,3.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,12.0,15
Male,4.0,1.0,5.0,2.0,5.0,3.0,1.0,5.0,1.0,1.0,2.0,10.0,15
Male,4.0,2.0,5.0,2.0,5.0,4.0,4.0,5.0,2.0,7.0,365.0,20.0,16
Male,1.0,4.0,3.0,3.0,5.0,3.0,2.0,4.0,1.0,1.0,6.0,20.0,19
Male,3.0,2.0,3.0,1.0,5.0,1.0,5.0,5.0,2.0,0.0,5.0,20.0,18
Male,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,4.0,9.0,16
Male,1.0,2.0,1.0,2.0,3.0,2.0,5.0,3.0,3.0,0.0,1.0,12.0,15
Male,4.0,3.0,4.0,5.0,5.0,2.0,3.0,5.0,3.0,0.0,2.0,8.0,20
Male,2.0,5.0,2.0,4.0,3.0,1.0,5.0,3.0,3.0,0.0,2.0,8.0,15
Male,1.0,4.0,3.0,2.0,4.0,1.0,5.0,3.0,2.0,1.0,2.0,17.5,21
Male,3.0,2.0,4.0,2.0,5.0,3.0,2.0,4.0,1.0,1.0,5.0,10.0,19
Male,1.0,3.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,4.0,2.0,17.0,15
Male,1.0,5.0,4.0,3.0,5.0,2.0,4.0,5.0,4.0,0.0,12.0,10.0,20
Male,1.0,5.0,3.0,2.0,5.0,1.0,3.0,5.0,5.0,0.0,4.0,10.0,20
Male,5.0,2.0,5.0,3.0,5.0,4.0,2.0,5.0,1.0,3.0,3.0,8.0,15
Male,1.0,4.0,4.0,3.0,2.0,1.0,5.0,1.0,5.0,0.0,9.0,20.0,15
Male,1.0,4.0,3.0,3.0,5.0,1.0,2.0,4.0,5.0,0.0,4.0,10.0,15
Male,3.0,4.0,4.0,2.0,5.0,3.0,4.0,5.0,1.0,2.0,2.0,20.0,18
Male,1.0,2.0,3.0,2.0,5.0,3.0,2.0,5.0,5.0,0.0,3.0,15.0,16
Male,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,0.0,1.0,10.0,14
Male,3.0,2.0,4.0,1.0,4.0,3.0,3.0,3.0,1.0,10.0,3.0,14.0,14
Male,1.0,5.0,1.0,3.0,1.0,1.0,5.0,1.0,5.0,0.0,5.0,11.0,17
Male,2.0,4.0,4.0,1.0,5.0,1.0,2.0,5.0,1.0,1.0,6.0,20.0,21
Male,3.0,4.0,4.0,3.0,5.0,3.0,5.0,5.0,4.0,1.0,4.0,12.0,16
Male,1.0,5.0,4.0,1.0,5.0,1.0,3.0,5.0,5.0,0.0,1.0,10.0,20
Male,3.0,4.0,2.0,2.0,5.0,3.0,2.0,5.0,5.0,2.0,1.0,10.0,15
Male,1.0,2.0,3.0,2.0,5.0,2.0,4.0,5.0,1.0,0.0,1.0,20.0,16
Male,5.0,4.0,5.0,1.0,5.0,5.0,2.0,5.0,1.0,10.0,2.0,10.0,17
Male,3.0,3.0,5.0,1.0,5.0,2.0,1.0,3.0,1.0,2.0,1.0,8.0,20
Male,4.0,3.0,4.0,2.0,5.0,1.0,4.0,5.0,3.0,1.0,3.0,16.0,15
Male,2.0,4.0,4.0,2.0,4.0,2.0,1.0,4.0,2.0,2.0,4.0,20.0,21
Male,5.0,2.0,5.0,1.0,5.0,3.0,2.0,5.0,1.0,2.0,5.0,8.0,16
Male,1.0,5.0,3.0,4.0,4.0,1.0,5.0,3.0,2.0,0.0,3.0,10.0,17
Male,4.0,4.0,4.0,1.0,5.0,2.0,3.0,3.0,2.0,0.0,3.0,20.0,17
Male,3.0,3.0,5.0,2.0,5.0,3.0,2.0,4.0,1.0,1.0,3.0,14.0,20
Male,1.0,4.0,5.0,1.0,5.0,1.0,3.0,5.0,1.0,0.0,2.0,14.0,16
Male,1.0,5.0,4.0,1.0,2.0,3.0,5.0,5.0,1.0,0.0,15.0,12.0,16
Male,5.0,4.0,5.0,1.0,5.0,2.0,1.0,5.0,1.0,2.0,2.0,15.0,16
Male,3.0,5.0,2.0,5.0,5.0,1.0,4.0,5.0,5.0,0.0,5.0,12.0,16
